,IndiaGDP
1996-04-01,3337013258668.65
1996-07-01,3424932371902.22
1996-10-01,3540516153291.71
1997-01-01,3624615356603.8003
1997-04-01,3708000353940.13
1997-07-01,3767700400897.3
1997-10-01,3889660384483.9
1998-01-01,4062308237360.56
1998-04-01,4193561659267.67
1998-07-01,4376719111973.44
1998-10-01,4532250790028.16
1999-01-01,4588446833243.189
1999-04-01,4757204039520.351
1999-07-01,4854689132511.18
1999-10-01,4961412892675.69
2000-01-01,5146559587529.97
2000-04-01,5177677102851.59
2000-07-01,5282722864877.46
2000-10-01,5345120559270.45
2001-01-01,5432494999780.189
2001-04-01,5576787897525.56
2001-07-01,5679929153722.26
2001-10-01,5849926446569.72
2002-01-01,5915806031979.45
2002-04-01,6032182465018.439
2002-07-01,6158862517884.8
2002-10-01,6194677837217.42
2003-01-01,6410765539576.2705
2003-04-01,6630695535321.21
2003-07-01,6807595757525.46
2003-10-01,7137374932851.84
2004-01-01,7252101084172.96
2004-04-01,7604706578089.24
2004-07-01,7853687239227.88
2004-10-01,8074886843289.47
2005-01-01,8323043482074.34
2005-04-01,8629066629305.22
2005-07-01,8888198249185.13
2005-10-01,9212623876027.59
2006-01-01,9559305873343.262
2006-04-01,9913648972424.389
2006-07-01,10369890036771.6
2006-10-01,10757167827669.0
2007-01-01,11156915907923.0
2007-04-01,11539176046909.3
2007-07-01,11954389874386.0
2007-10-01,12534930411327.299
2008-01-01,12972151619575.799
2008-04-01,13494949424091.0
2008-07-01,13961231936410.701
2008-10-01,14279939039082.102
2009-01-01,13582054066650.4
2009-04-01,14621179986882.9
2009-07-01,15534202098906.6
2009-10-01,16374694596447.5
2010-01-01,17117811605900.5
2010-04-01,17847378442744.8
2010-07-01,18692788867294.4
2010-10-01,19598519149634.203
2011-01-01,20344139494125.4
2011-04-01,20938176152734.0
2011-07-01,21444379834480.0
2011-10-01,22101238869264.1
2012-01-01,22879493253521.902
2012-04-01,23760390118990.7
2012-07-01,24508179579759.2
2012-10-01,25190474338836.402
2013-01-01,25981087022413.6
2013-04-01,26692742844076.098
2013-07-01,27603276077021.7
2013-10-01,28630128284030.7
2014-01-01,29409071324871.4
2014-04-01,30101948694220.4
2014-07-01,30891175307280.902
2014-10-01,31518755023331.2
2015-01-01,32167712205167.5
2015-04-01,33058023714003.1
2015-07-01,33914868468284.004
2015-10-01,34834774984650.0
2016-01-01,35911071613062.9
2016-04-01,37029638670055.1
2016-07-01,38001918934364.6
2016-10-01,38936582861564.4
2017-01-01,39948549684015.805
2017-04-01,40808035024759.6
2017-07-01,41993148430342.4
2017-10-01,43275464803640.5
2018-01-01,44823770061257.6
2018-04-01,45922223316990.0
2018-07-01,47041395658745.5
2018-10-01,47840976057745.2
2019-01-01,48192089426519.3
2019-04-01,49182010581240.4
2019-07-01,49818314930607.8
2019-10-01,50618707215410.3
2020-01-01,51416895842741.5
2020-04-01,38623816554413.7
2020-07-01,48682923440899.1
2020-10-01,54077503262372.6
2021-01-01,56915028892314.5
2021-04-01,51178084876039.9
2021-07-01,57489248511622.8
2021-10-01,62129145922776.2
2022-01-01,63913638049561.0
2022-04-01,65709731063935.21
2022-07-01,67307871765561.09
2022-10-01,68978072312823.2
2023-01-01,70411446587680.5
2023-04-01,71671416432448.3
2023-07-01,73171881464171.61
