date,unemployment
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,7.641
1992,7.649
1993,7.662
1994,7.593
1995,7.57
1996,7.537
1997,7.574
1998,7.596
1999,7.583
2000,7.589
2001,7.611
2002,7.681
2003,7.633
2004,7.598
2005,7.551
2006,7.553
2007,7.562
2008,7.629
2009,7.636
2010,7.631
2011,7.609
2012,7.645
2013,7.678
2014,7.656
2015,7.629
2016,7.611
2017,7.626
2018,7.652
2019,6.51
2020,7.859
2021,6.38
2022,4.822
2023,4.172
2024,4.173
2025,4.219
