Feature,Importance
ESS,0.6513284324889934
unemployment_Unemployment_lag1,0.04862899246652309
unemployment_Unemployment,0.03643819773690082
industrial_production_IndustrialProduction,0.030243037822389043
interest_rate_FederalFundsRate,0.028344457348142154
interest_rate_FederalFundsRate_lag1,0.026615673662756387
india_cpi_IndiaCPI_pct_change,0.015298353758916958
consumer_sentiment_ConsumerSentiment,0.014147326551383354
interest_rate_FederalFundsRate_pct_change,0.013848647959024624
cpi_CPI_pct_change,0.013837581266207419
india_cpi_IndiaCPI,0.013065171782575895
usd_inr_USDINR,0.010945386985616484
industrial_production_IndustrialProduction_pct_change,0.00986647951695513
cpi_CPI_lag1,0.008023527108429436
cpi_data_CPI,0.00756114278353186
unemployment_Unemployment_pct_change,0.007153256761286334
cpi_CPI,0.006936018372913699
india_cpi_IndiaCPI_lag1,0.005307571354853297
oil_Close_momentum,0.004997689826396741
Month,0.004819430867154953
gold_Volume,0.0031059201453670416
oil_Close_vol3,0.00241423014778398
Year,0.0021562122825585233
gold_Close_vol3,0.0021182174239049597
Quarter,0.001735176519957519
india_gdp_IndiaGDP,0.0016117627756440593
nifty50_Close_momentum,0.001451720003584886
oil_Close_vol6,0.001445442139767694
gold_Close_momentum,0.0013246328732048477
india_gdp_IndiaGDP_lag1,0.0012699520140240156
sp500_Volume,0.0011813863374016413
sensex_Close_vol6,0.0009713785943332045
sensex_Volume,0.0009391150659974688
oil_Volume,0.0009058096307643542
india_gdp_IndiaGDP_pct_change,0.0008829210861775804
sensex_Close_momentum,0.0007402270950051077
gold_Close_vol6,0.0007074748011335666
nifty50_Volume,0.0007068496854801254
gold_Close_lag1,0.0006853581377788917
dollar_index_Close,0.0006829212621889847
dollar_index_High,0.0006095241242070358
gold_High,0.0006055192945607957
sp500_Close_momentum,0.0006006851301625242
silver_Close,0.0005916718543180113
nasdaq_Close_momentum,0.0005696353032022443
nasdaq_Volume,0.0005419438692235854
nifty50_Close_vol6,0.0005246904649771517
silver_Volume,0.000498546500582974
sp500_High,0.0004797567232823369
dollar_index_Low,0.00045372261111555583
gold_Low,0.00043917250475018337
dollar_index_Open,0.0004151422987885308
sensex_Close,0.00039038907166606815
silver_High,0.00038241298338591285
oil_Low,0.0003719189808898816
brent_oil_Open,0.0003695386271641781
nasdaq_High,0.0003573058364047836
gold_Close,0.00032486457787085735
sp500_Close_ma3,0.000324820390843163
sensex_High,0.00031710652896834184
silver_Low,0.00031488571419410413
gold_Close_ma3,0.00030159513314567774
nifty50_Close_vol3,0.0003009335385578062
brent_oil_Close,0.0002928895898686681
sp500_Close_vol3,0.000280740837850118
sensex_Close_ma6,0.0002781422791760275
sp500_Close_ma6,0.0002770049251265893
nasdaq_Close_vol6,0.00026291413997663136
nifty50_Close_ma3,0.00025561538431314256
silver_Open,0.00024474699994974904
gold_Open,0.00022636435613491345
brent_oil_Volume,0.00021871995181151177
sp500_Close,0.0002187164785435252
sp500_Close_vol6,0.0002169994928448215
nifty50_Low,0.00020695850602241647
oil_Close,0.0002031597397945231
gold_Close_ma6,0.00019203239099904233
sensex_Close_vol3,0.00018131479119849154
oil_Close_ma3,0.00016979722501817444
sensex_Low,0.00016810712109408953
oil_Close_lag1,0.0001643033694389939
nifty50_High,0.00014578718947648003
nasdaq_Close_vol3,0.00014494116087042814
oil_Open,0.00014298085204040903
sp500_Open,0.0001363528227972232
nasdaq_Close,0.00012931722957861984
sensex_Open,9.857007061139385e-05
nasdaq_Open,9.492699581734158e-05
nifty50_Close,6.894888023837888e-05
nasdaq_Close_ma6,6.590110414431038e-05
brent_oil_Low,6.0141247726677725e-05
nifty50_Open,5.5627095048578364e-05
oil_Close_ma6,5.188711296115812e-05
sensex_Close_ma3,4.502975573468445e-05
nasdaq_Close_ma3,4.040138348410252e-05
nifty50_Close_ma6,3.612361799541548e-05
nasdaq_Low,2.7579310272521442e-05
brent_oil_High,2.6759866978174022e-05
oil_High,2.1938212744218508e-05
sp500_Low,1.9392007047205023e-05
gdp_growth_india_gdp_growth,0.0
dollar_index_Volume,0.0
inflation_india_inflation,0.0
exports_india_exports,0.0
imports_india_imports,0.0
unemployment_india_unemployment,0.0
